"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","Rp0,00"
"P/L Terbuka","Rp0,00 / 0,00%"
"P/L Harian","Rp45.412.277.493.641.632,00 / 0,07%"
"P/L Total","Rp49.209.964.644.144.864,00"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/23/2021","Jual","1000000000.00000000","39.850,0","03/23/2021","39.854,7","-0,01%","-Rp93.030.859.999.943,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","3000000000.00000000","55.047,2","03/23/2021","55.006,6","0,07%","Rp1.753.311.000.000.000,00"
"","IDR/JPY","IDR/JPY","FX","03/23/2021","Beli","1000000000.00000000","0,7556","03/23/2021","0,7541","-198,52%","-Rp1.987.950,00"
"","IDR/USD","IDR/USD","FX","03/23/2021","Beli","1000000000.00000000","0,00006934","03/23/2021","0,00006937","4,33%","Rp4.317,51"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","819.482.525","03/23/2021","818.435.404","-0,13%","-Rp100.000.000.000.000,00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/23/2021","Beli","1000000000.00000000","39.850,0","03/23/2021","39.832,5","-4,39%","-Rp346.391.500.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.934,3","03/23/2021","54.917,6","0,03%","Rp240.396.498.560.557,56"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.561,7","03/23/2021","54.925,1","-0,67%","-Rp5.231.143.000.000.000,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/23/2021","Jual","1000000000.00000000","46.066,0","03/23/2021","46.171,9","-0,23%","-Rp1.806.834.047.061.700,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","03/23/2021","Jual","1000000000.00000000","46.132,5","03/23/2021","46.097,4","7,61%","Rp598.865.669.998.959,38"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.909,5","03/23/2021","54.827,1","0,15%","Rp1.186.147.985.605.014,50"
"","EUR/IDR","EUR/IDR","FX","03/23/2021","Beli","1000000000.00000000","17.179,9","03/23/2021","17.186,2","3,67%","Rp6.299.999.990,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","54.911,5","03/23/2021","54.957,9","0,08%","Rp667.928.000.000.014,38"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","817.812.513","03/23/2021","818.720.569","0,11%","Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","817.811.556","03/23/2021","818.719.609","0,11%","Rp100.000.000.000.000,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/23/2021","Jual","1000000000.00000000","46.108,0","03/23/2021","46.103,2","0,01%","Rp81.896.142.938.349,48"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.934,3","03/23/2021","54.852,6","0,15%","Rp1.176.071.498.560.557,50"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/23/2021","Jual","1000000000.00000000","46.182,6","03/23/2021","46.142,1","0,09%","Rp690.998.849.829.383,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.947,7","03/23/2021","54.916,2","0,06%","Rp453.442.498.560.500,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000000.00000000","819.002.000","03/23/2021","819.001.000","0,01%","Rp999.999.900.000,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Jual","1000000.00000000","31,3968","03/23/2021","31,7257","-104,76%","-Rp81.787.112.486,74"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Jual","1000000000.00000000","31,3926","03/23/2021","31,7257","-106,11%","-Rp82.831.510.660.995,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Jual","1000000000.00000000","31,7499","03/23/2021","31,7061","13,80%","Rp10.891.684.580.532,81"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Jual","1000000000.00000000","31,7545","03/23/2021","31,7061","3,81%","Rp12.035.560.140.532,81"
"","USD/IDR","USD/IDR","FX","03/23/2021","Jual","1000000000.00000000","14.402,5","03/23/2021","14.400,0","17,36%","Rp2.500.000.000,00"
"","Bitcoin RUB Index","BTC/RUB","Investing.com","03/23/2021","Beli","1000000000.00000000","4.028.808","03/23/2021","4.038.508","0,24%","Rp1.828.158.999.981.153,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","814.320.167","03/23/2021","819.471.452","0,63%","Rp100.000.000.000.000,00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/23/2021","Jual","1000000000.00000000","39.987,4","03/23/2021","39.953,3","4,26%","Rp674.968.579.998.990,50"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/23/2021","Jual","1000000000.00000000","39.990,0","03/23/2021","39.967,5","5,63%","Rp445.360.499.999.010,31"
"","USD/CAD","USD/CAD","FX","03/23/2021","Beli","1000000000.00000000","1,2528","03/23/2021","1,2532","3,19%","Rp4.576.015.900,47"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","815.190.708","03/23/2021","819.451.107","0,52%","Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","815.543.672","03/23/2021","819.451.107","0,48%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","54.603,0","03/23/2021","54.653,7","0,09%","Rp729.826.499.856.006,88"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","54.602,7","03/23/2021","54.654,2","0,09%","Rp741.342.499.856.050,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","54.602,7","03/23/2021","54.617,7","0,03%","Rp215.924.999.856.050,00"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/23/2021","Jual","1000000000.00000000","65.223.651","03/23/2021","65.208.608","0,02%","Rp191.046.099.987.300,00"
"","BTC/KRW","BTC/KRW","Bithumb","03/23/2021","Jual","1000000000.00000000","65.169.000","03/23/2021","65.137.000","4,91%","Rp406.399.999.990.055,88"
"","BTC/ETH","BTC/ETH","Synthetic","03/23/2021","Beli","1000000.00000000","32,30","03/23/2021","32,28","-6,19%","-Rp496.420.000.968,02"
"","Dow Jones",".DJI","NYSE","03/23/2021","Beli","1000000000.00000000","32.731,20","03/23/2021","32.731,20","-0,00%","-Rp143.950,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","54.579,9","03/23/2021","54.563,4","-0,03%","-Rp237.517.500.143.950,00"
"","Bitcoin JPY Index","BTC/JPY","Investing.com","03/23/2021","Jual","1000000000.00000000","5.954.374","03/23/2021","5.949.911","0,07%","Rp591.481.389.867.470,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.670,1","03/23/2021","54.576,2","0,17%","Rp1.351.690.499.856.064,50"
"","USD/IDR","USD/IDR","FX","03/22/2021","Jual","1000000000.00000000","14.402,5","03/22/2021","14.402,5","0,00%","Rp0,00"
"","USD/GBP","USD/GBP","FX","03/22/2021","Beli","1000000000.00000000","0,7224","03/22/2021","0,7220","-5,54%","-Rp7.917.520.138,75"
"","USD/BTC","USD/BTC","Synthetic","03/22/2021","Jual","10000.00000000","0,00001753","03/22/2021","0,00001749","22,82%","Rp310.585,81"
"","ETH/GBP","ETH/GBP","Kraken","03/22/2021","Jual","100000000.00000000","1.289,97","03/22/2021","1.294,64","-36,20%","-Rp9.243.704.600.010,10"
"","IDR/EUR","IDR/EUR","FX","03/22/2021","Jual","1000000.00000000","0,00006","03/22/2021","0,00006","0,00%","-Rp0,02"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","1000000.00000000","840.492.364","03/22/2021","840.332.974","-0,02%","-Rp159.390.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","200000000.00000000","839.642.882","03/22/2021","840.332.974","0,08%","Rp100.000.000.000.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Beli","1000000.00000000","57.150,0","03/22/2021","57.002,0","-25,90%","-Rp2.130.460.001.007,60"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Beli","35.00000000","57.138,0","03/22/2021","57.138,0","0,00%","-Rp2,20"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Beli","50.00000000","57.139,0","03/22/2021","57.093,0","-8,05%","-Rp33.108.504,20"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Beli","20.00000000","57.115,0","03/22/2021","57.092,0","-4,03%","-Rp6.621.702,20"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Beli","20.00000000","57.043,8","03/22/2021","57.097,6","0,09%","Rp15.417.045,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Beli","10.00000000","57.054,0","03/22/2021","57.103,0","8,59%","Rp7.053.540,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Beli","20.00000000","57.021,0","03/22/2021","57.103,0","14,38%","Rp23.607.799,01"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","10000.00000000","835.621.000","03/22/2021","835.631.000","-0,12%","-Rp100.000.940,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Beli","10000.00000000","57.092,6","03/22/2021","57.181,5","0,16%","Rp12.795.859.450,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","1000000.00000000","56.830,2","03/22/2021","56.976,0","-0,26%","-Rp2.098.791.143.950,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","400000000.00000000","839.078.132","03/22/2021","840.291.000","0,14%","Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","1000000.00000000","835.992.000","03/22/2021","835.621.000","4,44%","Rp370.999.999.550,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","100000.00000000","835.601.000","03/22/2021","835.992.000","-9,36%","-Rp39.100.000.220,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","100000.00000000","837.400.000","03/22/2021","835.992.000","16,81%","Rp140.799.999.780,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","1000000.00000000","32,7976","03/22/2021","32,8480","-153,67%","-Rp12.532.898.434,67"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","64000.00000000","837.400.000","03/22/2021","835.992.000","16,81%","Rp90.111.999.900,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","100000.00000000","836.944.000","03/22/2021","836.889.000","0,66%","Rp5.499.999.780,00"
"","IDR/EUR","IDR/EUR","FX","03/22/2021","Jual","10000000.00000000","0,00006","03/22/2021","0,00006","0,00%","-Rp1,02"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","100000.00000000","57.172,2","03/22/2021","56.987,8","0,32%","Rp265.443.656.049,99"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Beli","1000000.00000000","57.083,1","03/22/2021","57.081,7","-0,00%","-Rp20.153.143.950,03"
"","Bitcoin JPY Index","BTC/JPY","Investing.com","03/22/2021","Beli","1000000000.00000000","6.223.317","03/22/2021","6.217.314","-0,10%","-Rp795.577.590.013.250,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Beli","100000.00000000","842.757.000","03/22/2021","842.757.000","-0,00%","-Rp1.000,00"
"","BTC/KRW","BTC/KRW","Bithumb","03/22/2021","Jual","100000.00000000","67.260.000","03/22/2021","67.313.000","-78,80%","-Rp67.310.000.994,79"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","1000000000.00000000","834.671.000","03/22/2021","837.550.000","-344,93%","-Rp100.000.000.000.000,00"
"","GBP/IDR","GBP/IDR","FX","03/22/2021","Jual","1000000000.00000000","19.918,7","03/22/2021","19.920,1","-0,70%","-Rp1.400.000.940,00"
"","IDR/USD","IDR/USD","FX","03/22/2021","Jual","1000000000.00000000","0,00006951","03/22/2021","0,00006943","11,51%","Rp11.515,01"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","1000000000.00000000","56.713,1","03/22/2021","57.104,2","-0,69%","-Rp5.629.884.500.144.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","100000000.00000000","839.114.671","03/22/2021","839.082.727","-0,00%","-Rp3.194.400.000.940,00"
"","EUR/IDR","EUR/IDR","FX","03/22/2021","Jual","1000000000.00000000","17.168,5","03/22/2021","17.160,6","4,60%","Rp7.899.999.900,00"
"","Ferrari NV","RACE.MI","MI","03/22/2021","Beli","1000000000.00000000","169,60","03/22/2021","169,60","-0,00%","-Rp17.061,70"
"","Bitcoin JPY Index","BTC/JPY","Investing.com","03/22/2021","Beli","100000000.00000000","6.220.309","03/22/2021","6.164.886","-0,89%","-Rp734.521.019.013.250,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","100000000.00000000","47.998,4","03/22/2021","47.606,3","-0,82%","-Rp668.989.257.170.620,00"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/22/2021","Beli","100000000.00000000","67.024.552","03/22/2021","66.248.992","-1,16%","-Rp984.961.200.001.270,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","100000000.00000000","841.565.958","03/22/2021","840.815.986","-0,09%","-Rp74.997.200.001.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","100000.00000000","57.551,0","03/22/2021","57.238,3","0,54%","Rp450.131.632.726,00"
"","BTC/USD","BTC/USD","Binance","03/22/2021","Jual","100.00000000","57.516,1","03/22/2021","57.239,1","0,48%","Rp398.741.500,00"
"","BTC/USD","BTC/USD","Poloniex","03/22/2021","Jual","100.00000000","57.495,3","03/22/2021","57.255,0","0,42%","Rp345.911.850,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","1000000.00000000","845.601.000","03/22/2021","842.399.000","0,38%","Rp3.201.999.999.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","1000000.00000000","843.071.000","03/22/2021","842.756.000","3,74%","Rp314.999.999.060,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","1000000.00000000","845.643.000","03/22/2021","842.756.000","0,34%","Rp2.886.999.999.000,00"
"","IDR/EUR","IDR/EUR","FX","03/22/2021","Jual","1000000000.00000000","0,00006","03/22/2021","0,00006","0,00%","-Rp1,02"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","1000000.00000000","845.601.000","03/22/2021","842.763.000","33,56%","Rp2.837.999.999.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","100000000.00000000","850.479.605","03/22/2021","843.880.160","-0,78%","-Rp100.000.000.000.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.540,0","03/22/2021","57.386,0","0,27%","Rp2.216.829.999.990,07"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.539,0","03/22/2021","57.372,0","0,29%","Rp2.403.964.999.990,07"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.523,0","03/22/2021","57.463,0","0,10%","Rp863.699.999.990,00"
"","Emas","GCJ1","ICE","03/22/2021","Beli","1000000.00000000","1.731,05","03/22/2021","1.733,10","0,12%","Rp2.950.974.985.605,00"
"","Emas","GCJ1","ICE","03/22/2021","Jual","1000000.00000000","1.728,15","03/22/2021","1.730,75","-0,15%","-Rp37.427.000.172.739,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","10000000.00000000","844.995.000","03/22/2021","845.101.000","-0,01%","-Rp1.060.000.001.000,00"
"","Emas","GCJ1","ICE","03/22/2021","Jual","100000000.00000000","1.730,35","03/22/2021","1.731,00","-0,04%","-Rp93.567.500.000.013,00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/22/2021","Jual","10000000.00000000","41.968,0","03/22/2021","41.918,7","0,12%","Rp9.758.343.399.999,60"
"","Emas","GCJ1","ICE","03/22/2021","Jual","100000.00000000","1.729,70","03/22/2021","1.732,55","-0,16%","-Rp410.257.500.287,89"
"","Emas","GCJ1","ICE","03/22/2021","Jual","100000.00000000","1.729,85","03/22/2021","1.732,55","-0,16%","-Rp388.665.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","10000000.00000000","843.596.000","03/22/2021","852.022.965","1,00%","Rp84.269.649.999.900,00"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/22/2021","Beli","1000000000.00000000","67.413.325","03/22/2021","67.993.188","0,86%","Rp1.270.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","1000000000.00000000","841.880.515","03/22/2021","844.778.704","0,34%","Rp100.000.000.000.000,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Beli","1000000000.00000000","33,1324","03/22/2021","33,3230","5,75%","Rp47.396.235.158.806,39"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/22/2021","Beli","1000000000.00000000","67.305.669","03/22/2021","67.663.239","0,53%","Rp1.270.000.000.000.000,00"
"","Emas","GCJ1","ICE","03/22/2021","Beli","10000.00000000","1.727,90","03/22/2021","1.730,15","0,13%","Rp32.388.735.605,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","1000000000.00000000","57.202,9","03/22/2021","57.216,7","-0,02%","-Rp198.651.000.158.290,00"
"","Emas","GCJ1","ICE","03/22/2021","Jual","1000000.00000000","1.727,65","03/22/2021","1.729,30","-0,10%","-Rp2.375.176.410.709,90"
"","XAUR/USD","XAUR/USD","Synthetic","03/22/2021","Beli","10000000.00000000","0,029748","03/22/2021","0,030052","25,55%","Rp43.760.799,01"
"","Xaurum Index","XAUR/USD","Investing.com","03/22/2021","Beli","1000000000.00000000","0,030086","03/22/2021","0,030052","-0,11%","-Rp489.473.185,00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/22/2021","Jual","100000.00000000","41.372,7","03/22/2021","41.355,8","0,04%","Rp33.451.502.206,18"
"","Xaurum Index","XAUR/USD","Investing.com","03/22/2021","Beli","1000000000.00000000","0,030069","03/22/2021","0,030052","-0,06%","-Rp244.758.185,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","10000000.00000000","847.896.832","03/22/2021","848.822.588","0,11%","Rp9.257.559.978.800,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","1000000.00000000","57.583,5","03/22/2021","57.734,1","-0,26%","-Rp2.167.887.014.395,00"
"","ETH/XAU","ETH/XAU","Synthetic","03/22/2021","Jual","1000000000.00000000","1,02942","03/22/2021","1,03374","-41,97%","-Rp1.074.248.352.001,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","1000000.00000000","48.534,1","03/22/2021","48.640,6","0,22%","Rp1.817.070.964.691,50"
"","BTC/ETH","BTC/ETH","Synthetic","03/22/2021","Jual","1000000.00000000","32,14","03/22/2021","32,16","-6,22%","-Rp496.420.000.943,20"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","1000000.00000000","33,0261","03/22/2021","33,1690","-86,54%","-Rp35.534.752.886,74"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","100000.00000000","33,0467","03/22/2021","33,1690","-18,50%","-Rp3.041.217.077,47"
"","Bitcoin SAR Index","BTC/SAR","Investing.com","03/22/2021","Beli","100000000.00000000","216.011,4","03/22/2021","216.510,6","0,23%","Rp191.610.930.816.167,84"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","1000000.00000000","846.064.000","03/22/2021","846.064.000","0,00%","-Rp1.000,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","1000000.00000000","48.611,6","03/22/2021","48.397,4","-0,44%","-Rp3.654.616.395.925,50"
"","Bitcoin RUB Index","BTC/RUB","Investing.com","03/22/2021","Beli","1000000.00000000","4.172.055","03/22/2021","4.152.810","-0,46%","-Rp3.627.105.153.580,90"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","1000000.00000000","33,0320","03/22/2021","33,0320","0,00%","-Rp9.946,74"
"","Bitcoin SAR Index","BTC/SAR","Investing.com","03/22/2021","Beli","10000000.00000000","216.058,7","03/22/2021","215.532,1","-0,24%","-Rp20.212.804.335.754,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","10000000.00000000","845.685.214","03/22/2021","844.877.471","-0,10%","-Rp8.077.430.012.400,00"
"","BTC/ETH","BTC/ETH","Synthetic","03/22/2021","Jual","1000000.00000000","32,15","03/22/2021","32,14","3,11%","Rp248.209.990.568,02"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/22/2021","Beli","10000000.00000000","41.642,6","03/22/2021","41.457,8","-0,44%","-Rp36.578.942.597.938,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","100000.00000000","48.273,8","03/22/2021","48.323,8","0,10%","Rp85.308.482.938,30"
"","BTC/RUB","BTC/RUB","Exmo","03/22/2021","Jual","10000.00000000","4.166.642","03/22/2021","4.159.010","0,18%","Rp14.384.024.576,28"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000.00000000","57.684,0","03/22/2021","57.321,0","0,63%","Rp5.225.384.999,01"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","1000000.00000000","33,0779","03/22/2021","32,9591","35,92%","Rp29.541.819.733,26"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","1000000.00000000","33,0963","03/22/2021","32,9591","41,45%","Rp34.117.321.973,26"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/22/2021","Beli","1000000.00000000","41.642,6","03/22/2021","41.448,8","-0,47%","-Rp3.836.038.637.938,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/22/2021","Jual","1000000.00000000","33,0937","03/22/2021","32,9915","30,88%","Rp25.413.920.973,26"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/22/2021","Beli","1000000.00000000","41.642,6","03/22/2021","41.472,3","-0,41%","-Rp3.370.884.337.938,00"
"","BTC/ETH","BTC/ETH","Synthetic","03/22/2021","Jual","1000000000.00000000","32,18","03/22/2021","32,17","3,11%","Rp248.209.999.999.007,16"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.637,0","03/22/2021","57.415,0","38,52%","Rp3.195.689.999.900,24"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.637,0","03/22/2021","57.415,0","38,52%","Rp3.195.689.999.900,24"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/22/2021","Beli","1000000.00000000","41.644,7","03/22/2021","41.490,5","-0,37%","-Rp3.052.204.118.350,40"
"","BCH/BTC","BCH/BTC","Bittrex","03/22/2021","Jual","1000000000.00000000","0,00904","03/22/2021","0,00902","22,12%","Rp16.218.579.990.268,85"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Jual","100000000.00000000","845.418.286","03/22/2021","845.628.126","-0,02%","-Rp20.984.000.001.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.638,0","03/22/2021","57.449,0","32,79%","Rp2.720.654.999.900,24"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.462,7","03/22/2021","57.449,0","2,38%","Rp197.211.499.900,16"
"","BTC/KRW","BTC/KRW","Bithumb","03/22/2021","Jual","1000000.00000000","67.440.000","03/22/2021","67.303.000","20,31%","Rp1.739.899.990.049,55"
"","BTC/EUR","BTC/EUR","Kraken","03/22/2021","Jual","100000.00000000","48.652,1","03/22/2021","48.442,3","0,43%","Rp357.954.465.897,63"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","100000000.00000000","48.581,8","03/22/2021","48.415,4","-0,34%","-Rp283.906.689.706.170,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","100000000.00000000","845.669.114","03/22/2021","845.932.288","0,03%","Rp26.317.399.985.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.617,0","03/22/2021","57.633,0","-2,78%","-Rp230.320.000.099,87"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1000000.00000000","57.748,0","03/22/2021","57.637,0","19,22%","Rp1.597.844.999.860,22"
"","BTC/EUR","BTC/EUR","Kraken","03/22/2021","Jual","10000000.00000000","48.664,4","03/22/2021","48.639,8","20,22%","Rp4.197.178.199.876,99"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","100000.00000000","57.687,0","03/22/2021","57.748,0","-10,57%","-Rp87.809.500.099,80"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","1200.00000000","57.563,0","03/22/2021","57.494,0","0,12%","Rp1.191.905.999,01"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/22/2021","Beli","1000000.00000000","41.453,6","03/22/2021","41.453,6","0,00%","-Rp197.938,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","1000.00000000","841.550.000","03/22/2021","841.299.000","0,30%","Rp250.999.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","1000000.00000000","840.159.351","03/22/2021","842.189.625","0,24%","Rp2.030.273.990.000,00"
"","BTC/KRW","BTC/KRW","Bithumb","03/22/2021","Jual","640000.00000000","67.208.000","03/22/2021","67.432.000","-0,33%","-Rp1.820.672.000.994,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","1000000.00000000","47.711,9","03/22/2021","48.068,4","0,75%","Rp6.082.495.862.321,30"
